Date,Open,High,Low,Close,Adj Close,Volume
2010-07-05,47.266666,50.466667,45.033333,48.866665,42.081703,5213493
2010-07-12,49.200001,49.299999,45.400002,45.599998,39.268604,1784273
2010-07-19,45.500000,46.200001,44.500000,44.566666,38.378746,885569
2010-07-26,44.933334,44.933334,41.666664,42.666664,36.742546,1064420
2010-08-02,42.733334,44.433334,41.766666,42.299999,36.426796,783646
2010-08-09,42.666664,44.666664,40.766666,43.033333,37.058311,1140238
2010-08-16,43.433334,43.866665,41.000000,42.566666,36.656445,1264868
2010-08-23,42.666664,45.866665,42.033333,42.466667,36.570328,1849542
2010-08-30,43.533333,43.533333,41.000000,41.900002,36.082344,746587
2010-09-06,42.266666,44.333332,41.700001,43.066666,37.087013,1521525
2010-09-13,43.066666,44.933334,42.333332,43.466667,37.431480,1210840
2010-09-20,42.133331,43.966667,41.466667,42.400002,36.512920,708752
2010-09-27,42.833332,44.599998,41.333332,42.433334,36.825775,705889
2010-10-04,42.166664,44.200001,42.033333,42.166664,36.594345,1082665
2010-10-11,42.666664,43.866665,41.833332,42.066666,36.507561,771257
2010-10-18,42.500000,43.133331,41.033333,41.700001,36.189342,604291
2010-10-25,42.266666,46.133331,41.733334,45.500000,39.487179,4638476
2010-11-01,46.133331,49.000000,43.933334,46.599998,40.441814,5023649
2010-11-08,47.299999,51.933334,44.833332,45.299999,39.313602,8720900
2010-11-15,45.599998,45.599998,40.000000,40.500000,35.147926,978146
2010-11-22,41.266666,41.533333,33.866665,36.933334,32.052601,938947
2010-11-29,37.633331,42.133331,36.666664,39.633331,34.395790,725404
2010-12-06,39.366665,40.766666,35.000000,38.500000,33.412224,631257
2010-12-13,38.333332,41.733334,37.666664,40.933334,35.523991,496079
2010-12-20,41.466667,45.200001,40.666664,43.299999,37.577908,757466
2010-12-27,44.666664,49.849998,42.933334,45.450001,39.443783,975125
2011-01-03,46.000000,49.700001,45.000000,46.000000,39.921097,973899
2011-01-10,46.200001,46.200001,42.200001,42.650002,37.013809,554262
2011-01-17,43.000000,43.250000,39.000000,42.450001,36.840233,517631
2011-01-24,43.500000,46.799999,41.099998,42.000000,36.449699,661084
2011-01-31,40.000000,51.250000,40.000000,44.650002,38.749504,7557514
2011-02-07,45.000000,47.200001,39.599998,41.450001,35.972382,854158
2011-02-14,41.950001,43.500000,40.799999,41.000000,35.581848,320904
2011-02-21,41.799999,43.000000,38.799999,39.150002,33.976326,329048
2011-02-28,40.500000,42.799999,39.000000,39.450001,34.236691,239739
2011-03-07,39.900002,39.900002,37.700001,38.250000,33.195259,234901
2011-03-14,39.500000,39.500000,36.400002,37.000000,32.110455,300543
2011-03-21,37.200001,38.299999,35.849998,37.849998,32.848122,623163
2011-03-28,37.750000,39.799999,36.400002,38.650002,33.542404,274866
2011-04-04,39.400002,43.049999,39.000000,41.650002,36.145962,527064
2011-04-11,41.500000,44.400002,40.500000,41.599998,36.102558,367485
2011-04-18,41.700001,42.349998,39.900002,40.799999,35.408272,183839
2011-04-25,40.849998,44.200001,36.400002,37.349998,32.414192,1055789
2011-05-02,39.400002,39.400002,36.049999,36.400002,31.589743,327538
2011-05-09,36.099998,36.900002,33.200001,33.900002,29.420113,257099
2011-05-16,33.900002,34.000000,31.900000,32.000000,27.771202,184310
2011-05-23,32.000000,32.000000,27.600000,29.299999,25.428003,309410
2011-05-30,29.799999,32.299999,29.500000,30.049999,26.078892,281977
2011-06-06,30.000000,30.750000,29.200001,29.799999,25.861931,160166
2011-06-13,29.850000,30.299999,29.049999,29.299999,25.428003,124766
2011-06-20,29.500000,29.900000,24.750000,27.450001,23.822483,225456
2011-06-27,27.450001,29.500000,26.100000,28.600000,24.820509,351179
2011-07-04,29.000000,30.900000,28.750000,29.000000,25.167652,340436
2011-07-11,29.000000,29.549999,28.000000,28.500000,24.733727,118403
2011-07-18,29.000000,29.700001,28.299999,29.100000,25.254436,139009
2011-07-25,28.299999,32.349998,28.299999,29.299999,25.876467,551075
2011-08-01,29.299999,29.900000,25.250000,26.400000,23.315317,253890
